DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1913-01-01,1913,1,1,BLS12_IPAEPEUAS12,1913-01-01T00:00:00-02:00,12.1
1913-01-01,1913,1,1,BLS12_IPAEPEUAS12,1913-01-01T00:00:00-02:00,12.1
1913-02-01,1913,1,2,BLS12_IPAEPEUAS12,1913-02-01T00:00:00-02:00,12.0
1913-02-01,1913,1,2,BLS12_IPAEPEUAS12,1913-02-01T00:00:00-02:00,12.0
1913-03-01,1913,1,3,BLS12_IPAEPEUAS12,1913-03-01T00:00:00-03:00,12.0
1913-03-01,1913,1,3,BLS12_IPAEPEUAS12,1913-03-01T00:00:00-03:00,12.0
1913-04-01,1913,1,4,BLS12_IPAEPEUAS12,1913-04-01T00:00:00-03:00,12.0
1913-04-01,1913,1,4,BLS12_IPAEPEUAS12,1913-04-01T00:00:00-03:00,12.0
1913-05-01,1913,1,5,BLS12_IPAEPEUAS12,1913-05-01T00:00:00-03:00,11.9
1913-05-01,1913,1,5,BLS12_IPAEPEUAS12,1913-05-01T00:00:00-03:00,11.9
1913-06-01,1913,1,6,BLS12_IPAEPEUAS12,1913-06-01T00:00:00-03:00,11.9
1913-06-01,1913,1,6,BLS12_IPAEPEUAS12,1913-06-01T00:00:00-03:00,11.9
1913-07-01,1913,1,7,BLS12_IPAEPEUAS12,1913-07-01T00:00:00-03:00,12.0
1913-07-01,1913,1,7,BLS12_IPAEPEUAS12,1913-07-01T00:00:00-03:00,12.0
1913-08-01,1913,1,8,BLS12_IPAEPEUAS12,1913-08-01T00:00:00-03:00,12.0
1913-08-01,1913,1,8,BLS12_IPAEPEUAS12,1913-08-01T00:00:00-03:00,12.0
1913-09-01,1913,1,9,BLS12_IPAEPEUAS12,1913-09-01T00:00:00-03:00,12.2
1913-09-01,1913,1,9,BLS12_IPAEPEUAS12,1913-09-01T00:00:00-03:00,12.2
1913-10-01,1913,1,10,BLS12_IPAEPEUAS12,1913-10-01T00:00:00-03:00,12.2
1913-10-01,1913,1,10,BLS12_IPAEPEUAS12,1913-10-01T00:00:00-03:00,12.2
1913-11-01,1913,1,11,BLS12_IPAEPEUAS12,1913-11-01T00:00:00-03:00,12.1
1913-11-01,1913,1,11,BLS12_IPAEPEUAS12,1913-11-01T00:00:00-03:00,12.1
1913-12-01,1913,1,12,BLS12_IPAEPEUAS12,1913-12-01T00:00:00-02:00,11.9
1913-12-01,1913,1,12,BLS12_IPAEPEUAS12,1913-12-01T00:00:00-02:00,11.9
1914-01-01,1914,1,1,BLS12_IPAEPEUAS12,1914-01-01T00:00:00-02:00,11.8
