DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1947-01-01,1947,1,1,BLS12_IPCEUA12,1947-01-01T00:00:00-02:00,21.48
1947-01-01,1947,1,1,BLS12_IPCEUA12,1947-01-01T00:00:00-02:00,21.48
1947-02-01,1947,1,2,BLS12_IPCEUA12,1947-02-01T00:00:00-02:00,21.62
1947-02-01,1947,1,2,BLS12_IPCEUA12,1947-02-01T00:00:00-02:00,21.62
1947-03-01,1947,1,3,BLS12_IPCEUA12,1947-03-01T00:00:00-03:00,22.0
1947-03-01,1947,1,3,BLS12_IPCEUA12,1947-03-01T00:00:00-03:00,22.0
1947-04-01,1947,1,4,BLS12_IPCEUA12,1947-04-01T00:00:00-03:00,22.0
1947-04-01,1947,1,4,BLS12_IPCEUA12,1947-04-01T00:00:00-03:00,22.0
1947-05-01,1947,1,5,BLS12_IPCEUA12,1947-05-01T00:00:00-03:00,21.95
1947-05-01,1947,1,5,BLS12_IPCEUA12,1947-05-01T00:00:00-03:00,21.95
1947-06-01,1947,1,6,BLS12_IPCEUA12,1947-06-01T00:00:00-03:00,22.08
1947-06-01,1947,1,6,BLS12_IPCEUA12,1947-06-01T00:00:00-03:00,22.08
1947-07-01,1947,1,7,BLS12_IPCEUA12,1947-07-01T00:00:00-03:00,22.23
1947-07-01,1947,1,7,BLS12_IPCEUA12,1947-07-01T00:00:00-03:00,22.23
1947-08-01,1947,1,8,BLS12_IPCEUA12,1947-08-01T00:00:00-03:00,22.4
1947-08-01,1947,1,8,BLS12_IPCEUA12,1947-08-01T00:00:00-03:00,22.4
1947-09-01,1947,1,9,BLS12_IPCEUA12,1947-09-01T00:00:00-03:00,22.84
1947-09-01,1947,1,9,BLS12_IPCEUA12,1947-09-01T00:00:00-03:00,22.84
1947-10-01,1947,1,10,BLS12_IPCEUA12,1947-10-01T00:00:00-03:00,22.91
1947-10-01,1947,1,10,BLS12_IPCEUA12,1947-10-01T00:00:00-03:00,22.91
1947-11-01,1947,1,11,BLS12_IPCEUA12,1947-11-01T00:00:00-03:00,23.06
