DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1980-01-01,1980,1,1,GAC12_TCERCAN12,1980-01-01T00:00:00-02:00,278.743563554519
1980-02-01,1980,1,2,GAC12_TCERCAN12,1980-02-01T00:00:00-02:00,280.001248718257
1980-03-01,1980,1,3,GAC12_TCERCAN12,1980-03-01T00:00:00-03:00,267.490034305899
1980-04-01,1980,1,4,GAC12_TCERCAN12,1980-04-01T00:00:00-03:00,259.28715392972
1980-05-01,1980,1,5,GAC12_TCERCAN12,1980-05-01T00:00:00-03:00,253.365324502242
1980-06-01,1980,1,6,GAC12_TCERCAN12,1980-06-01T00:00:00-03:00,251.807737472199
1980-07-01,1980,1,7,GAC12_TCERCAN12,1980-07-01T00:00:00-03:00,238.624337351704
1980-08-01,1980,1,8,GAC12_TCERCAN12,1980-08-01T00:00:00-03:00,232.493030481278
1980-09-01,1980,1,9,GAC12_TCERCAN12,1980-09-01T00:00:00-03:00,230.089824241386
1980-10-01,1980,1,10,GAC12_TCERCAN12,1980-10-01T00:00:00-03:00,221.016282083776
1980-11-01,1980,1,11,GAC12_TCERCAN12,1980-11-01T00:00:00-03:00,211.171624077663
1980-12-01,1980,1,12,GAC12_TCERCAN12,1980-12-01T00:00:00-02:00,207.652468019289
1981-01-01,1981,1,1,GAC12_TCERCAN12,1981-01-01T00:00:00-02:00,210.765102123513
1981-02-01,1981,1,2,GAC12_TCERCAN12,1981-02-01T00:00:00-02:00,203.499903700209
1981-03-01,1981,1,3,GAC12_TCERCAN12,1981-03-01T00:00:00-03:00,201.265502869594
1981-04-01,1981,1,4,GAC12_TCERCAN12,1981-04-01T00:00:00-03:00,204.823329385079
1981-05-01,1981,1,5,GAC12_TCERCAN12,1981-05-01T00:00:00-03:00,203.982044294358
1981-06-01,1981,1,6,GAC12_TCERCAN12,1981-06-01T00:00:00-03:00,207.463299039724
1981-07-01,1981,1,7,GAC12_TCERCAN12,1981-07-01T00:00:00-03:00,210.678948431344
1981-08-01,1981,1,8,GAC12_TCERCAN12,1981-08-01T00:00:00-03:00,211.608667555714
1981-09-01,1981,1,9,GAC12_TCERCAN12,1981-09-01T00:00:00-03:00,216.837842232787
1981-10-01,1981,1,10,GAC12_TCERCAN12,1981-10-01T00:00:00-03:00,220.120694414693
1981-11-01,1981,1,11,GAC12_TCERCAN12,1981-11-01T00:00:00-03:00,222.510337507297
1981-12-01,1981,1,12,GAC12_TCERCAN12,1981-12-01T00:00:00-02:00,228.644724614329
1982-01-01,1982,1,1,GAC12_TCERCAN12,1982-01-01T00:00:00-02:00,227.334261536964
1982-02-01,1982,1,2,GAC12_TCERCAN12,1982-02-01T00:00:00-02:00,221.213742949454
1982-03-01,1982,1,3,GAC12_TCERCAN12,1982-03-01T00:00:00-03:00,217.840328799926
1982-04-01,1982,1,4,GAC12_TCERCAN12,1982-04-01T00:00:00-03:00,217.643320180967
1982-05-01,1982,1,5,GAC12_TCERCAN12,1982-05-01T00:00:00-03:00,216.331273460717
1982-06-01,1982,1,6,GAC12_TCERCAN12,1982-06-01T00:00:00-03:00,202.780012897996
1982-07-01,1982,1,7,GAC12_TCERCAN12,1982-07-01T00:00:00-03:00,203.734621738741
1982-08-01,1982,1,8,GAC12_TCERCAN12,1982-08-01T00:00:00-03:00,211.171253971082
1982-09-01,1982,1,9,GAC12_TCERCAN12,1982-09-01T00:00:00-03:00,221.729354142037
1982-10-01,1982,1,10,GAC12_TCERCAN12,1982-10-01T00:00:00-03:00,226.032762971707
1982-11-01,1982,1,11,GAC12_TCERCAN12,1982-11-01T00:00:00-03:00,228.761819543463
1982-12-01,1982,1,12,GAC12_TCERCAN12,1982-12-01T00:00:00-02:00,228.657234269821
1983-01-01,1983,1,1,GAC12_TCERCAN12,1983-01-01T00:00:00-02:00,225.057170695452
1983-02-01,1983,1,2,GAC12_TCERCAN12,1983-02-01T00:00:00-02:00,255.731398209438
1983-03-01,1983,1,3,GAC12_TCERCAN12,1983-03-01T00:00:00-03:00,295.884539260424
1983-04-01,1983,1,4,GAC12_TCERCAN12,1983-04-01T00:00:00-03:00,291.80207894963
1983-05-01,1983,1,5,GAC12_TCERCAN12,1983-05-01T00:00:00-03:00,300.467035728649
1983-06-01,1983,1,6,GAC12_TCERCAN12,1983-06-01T00:00:00-03:00,289.782696856414
