DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1922-01-01,1922,1,1,GM12_DOW12,1922-01-01T00:00:00-02:00,81.3
1922-02-01,1922,1,2,GM12_DOW12,1922-02-01T00:00:00-02:00,85.46
1922-03-01,1922,1,3,GM12_DOW12,1922-03-01T00:00:00-03:00,89.05
1922-04-01,1922,1,4,GM12_DOW12,1922-04-01T00:00:00-03:00,92.74
1922-05-01,1922,1,5,GM12_DOW12,1922-05-01T00:00:00-03:00,95.63
1922-06-01,1922,1,6,GM12_DOW12,1922-06-01T00:00:00-03:00,92.93
1922-07-01,1922,1,7,GM12_DOW12,1922-07-01T00:00:00-03:00,97.05
1922-08-01,1922,1,8,GM12_DOW12,1922-08-01T00:00:00-03:00,100.78
1922-09-01,1922,1,9,GM12_DOW12,1922-09-01T00:00:00-03:00,96.3
1922-10-01,1922,1,10,GM12_DOW12,1922-10-01T00:00:00-03:00,96.11
1922-11-01,1922,1,11,GM12_DOW12,1922-11-01T00:00:00-03:00,94.65
1922-12-01,1922,1,12,GM12_DOW12,1922-12-01T00:00:00-02:00,98.73
1923-01-01,1923,1,1,GM12_DOW12,1923-01-01T00:00:00-02:00,97.43
1923-02-01,1923,1,2,GM12_DOW12,1923-02-01T00:00:00-02:00,103.9
1923-03-01,1923,1,3,GM12_DOW12,1923-03-01T00:00:00-03:00,102.75
1923-04-01,1923,1,4,GM12_DOW12,1923-04-01T00:00:00-03:00,98.38
1923-05-01,1923,1,5,GM12_DOW12,1923-05-01T00:00:00-03:00,97.53
1923-06-01,1923,1,6,GM12_DOW12,1923-06-01T00:00:00-03:00,87.85
1923-07-01,1923,1,7,GM12_DOW12,1923-07-01T00:00:00-03:00,86.91
1923-08-01,1923,1,8,GM12_DOW12,1923-08-01T00:00:00-03:00,93.46
1923-09-01,1923,1,9,GM12_DOW12,1923-09-01T00:00:00-03:00,87.89
1923-10-01,1923,1,10,GM12_DOW12,1923-10-01T00:00:00-03:00,88.53
1923-11-01,1923,1,11,GM12_DOW12,1923-11-01T00:00:00-03:00,92.34
1923-12-01,1923,1,12,GM12_DOW12,1923-12-01T00:00:00-02:00,95.52
1924-01-01,1924,1,1,GM12_DOW12,1924-01-01T00:00:00-02:00,100.66
1924-02-01,1924,1,2,GM12_DOW12,1924-02-01T00:00:00-02:00,97.22
1924-03-01,1924,1,3,GM12_DOW12,1924-03-01T00:00:00-03:00,93.01
1924-04-01,1924,1,4,GM12_DOW12,1924-04-01T00:00:00-03:00,90.63
1924-05-01,1924,1,5,GM12_DOW12,1924-05-01T00:00:00-03:00,89.9
1924-06-01,1924,1,6,GM12_DOW12,1924-06-01T00:00:00-03:00,96.37
1924-07-01,1924,1,7,GM12_DOW12,1924-07-01T00:00:00-03:00,102.14
1924-08-01,1924,1,8,GM12_DOW12,1924-08-01T00:00:00-03:00,105.16
1924-09-01,1924,1,9,GM12_DOW12,1924-09-01T00:00:00-03:00,103.16
1924-10-01,1924,1,10,GM12_DOW12,1924-10-01T00:00:00-03:00,104.06
1924-11-01,1924,1,11,GM12_DOW12,1924-11-01T00:00:00-03:00,111.38
1924-12-01,1924,1,12,GM12_DOW12,1924-12-01T00:00:00-02:00,120.51
1925-01-01,1925,1,1,GM12_DOW12,1925-01-01T00:00:00-02:00,123.22
1925-02-01,1925,1,2,GM12_DOW12,1925-02-01T00:00:00-02:00,122.71
1925-03-01,1925,1,3,GM12_DOW12,1925-03-01T00:00:00-03:00,116.75
1925-04-01,1925,1,4,GM12_DOW12,1925-04-01T00:00:00-03:00,120.01
1925-05-01,1925,1,5,GM12_DOW12,1925-05-01T00:00:00-03:00,129.95
1925-06-01,1925,1,6,GM12_DOW12,1925-06-01T00:00:00-03:00,131.01
1925-07-01,1925,1,7,GM12_DOW12,1925-07-01T00:00:00-03:00,133.81
1925-08-01,1925,1,8,GM12_DOW12,1925-08-01T00:00:00-03:00,141.18
1925-09-01,1925,1,9,GM12_DOW12,1925-09-01T00:00:00-03:00,143.46
1925-10-01,1925,1,10,GM12_DOW12,1925-10-01T00:00:00-03:00,156.52
1925-11-01,1925,1,11,GM12_DOW12,1925-11-01T00:00:00-03:00,151.08
1925-12-01,1925,1,12,GM12_DOW12,1925-12-01T00:00:00-02:00,156.66
1926-01-01,1926,1,1,GM12_DOW12,1926-01-01T00:00:00-02:00,157.44
1926-02-01,1926,1,2,GM12_DOW12,1926-02-01T00:00:00-02:00,154.45
1926-03-01,1926,1,3,GM12_DOW12,1926-03-01T00:00:00-03:00,140.46
1926-04-01,1926,1,4,GM12_DOW12,1926-04-01T00:00:00-03:00,143.71
