DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1971-03-01,1971,1,3,GM12_NASDAQ12,1971-03-01T00:00:00-03:00,104.470434782609
1971-03-01,1971,1,3,GM12_NASDAQ12,1971-03-01T00:00:00-03:00,104.470434782609
1971-04-01,1971,1,4,GM12_NASDAQ12,1971-04-01T00:00:00-03:00,109.555238095238
1971-04-01,1971,1,4,GM12_NASDAQ12,1971-04-01T00:00:00-03:00,109.555238095238
1971-05-01,1971,1,5,GM12_NASDAQ12,1971-05-01T00:00:00-03:00,109.5705
1971-05-01,1971,1,5,GM12_NASDAQ12,1971-05-01T00:00:00-03:00,109.5705
1971-06-01,1971,1,6,GM12_NASDAQ12,1971-06-01T00:00:00-03:00,108.567727272727
1971-06-01,1971,1,6,GM12_NASDAQ12,1971-06-01T00:00:00-03:00,108.567727272727
1971-07-01,1971,1,7,GM12_NASDAQ12,1971-07-01T00:00:00-03:00,109.303333333333
1971-07-01,1971,1,7,GM12_NASDAQ12,1971-07-01T00:00:00-03:00,109.303333333333
1971-08-01,1971,1,8,GM12_NASDAQ12,1971-08-01T00:00:00-03:00,106.513181818182
1971-08-01,1971,1,8,GM12_NASDAQ12,1971-08-01T00:00:00-03:00,106.513181818182
1971-09-01,1971,1,9,GM12_NASDAQ12,1971-09-01T00:00:00-03:00,109.52380952381
1971-09-01,1971,1,9,GM12_NASDAQ12,1971-09-01T00:00:00-03:00,109.52380952381
1971-10-01,1971,1,10,GM12_NASDAQ12,1971-10-01T00:00:00-03:00,108.41
1971-10-01,1971,1,10,GM12_NASDAQ12,1971-10-01T00:00:00-03:00,108.41
1971-11-01,1971,1,11,GM12_NASDAQ12,1971-11-01T00:00:00-03:00,103.585238095238
1971-11-01,1971,1,11,GM12_NASDAQ12,1971-11-01T00:00:00-03:00,103.585238095238
1971-12-01,1971,1,12,GM12_NASDAQ12,1971-12-01T00:00:00-02:00,109.808181818182
1971-12-01,1971,1,12,GM12_NASDAQ12,1971-12-01T00:00:00-02:00,109.808181818182
1972-01-01,1972,1,1,GM12_NASDAQ12,1972-01-01T00:00:00-02:00,116.543333333333
1972-01-01,1972,1,1,GM12_NASDAQ12,1972-01-01T00:00:00-02:00,116.543333333333
1972-02-01,1972,1,2,GM12_NASDAQ12,1972-02-01T00:00:00-02:00,122.6645
1972-02-01,1972,1,2,GM12_NASDAQ12,1972-02-01T00:00:00-02:00,122.6645
1972-03-01,1972,1,3,GM12_NASDAQ12,1972-03-01T00:00:00-03:00,127.548181818182
1972-03-01,1972,1,3,GM12_NASDAQ12,1972-03-01T00:00:00-03:00,127.548181818182
