DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1976-06-01,1976,1,6,VALOR12_TNOTES212,1976-06-01T00:00:00-03:00,7.06
1976-07-01,1976,1,7,VALOR12_TNOTES212,1976-07-01T00:00:00-03:00,6.85
1976-08-01,1976,1,8,VALOR12_TNOTES212,1976-08-01T00:00:00-03:00,6.63
1976-09-01,1976,1,9,VALOR12_TNOTES212,1976-09-01T00:00:00-03:00,6.42
1976-10-01,1976,1,10,VALOR12_TNOTES212,1976-10-01T00:00:00-03:00,5.98
1976-11-01,1976,1,11,VALOR12_TNOTES212,1976-11-01T00:00:00-03:00,5.81
1976-12-01,1976,1,12,VALOR12_TNOTES212,1976-12-01T00:00:00-02:00,5.38
1977-01-01,1977,1,1,VALOR12_TNOTES212,1977-01-01T00:00:00-02:00,5.9
1977-02-01,1977,1,2,VALOR12_TNOTES212,1977-02-01T00:00:00-02:00,6.09
1977-03-01,1977,1,3,VALOR12_TNOTES212,1977-03-01T00:00:00-03:00,6.09
1977-04-01,1977,1,4,VALOR12_TNOTES212,1977-04-01T00:00:00-03:00,5.96
1977-05-01,1977,1,5,VALOR12_TNOTES212,1977-05-01T00:00:00-03:00,6.25
1977-06-01,1977,1,6,VALOR12_TNOTES212,1977-06-01T00:00:00-03:00,6.13
1977-07-01,1977,1,7,VALOR12_TNOTES212,1977-07-01T00:00:00-03:00,6.27
1977-08-01,1977,1,8,VALOR12_TNOTES212,1977-08-01T00:00:00-03:00,6.61
1977-09-01,1977,1,9,VALOR12_TNOTES212,1977-09-01T00:00:00-03:00,6.71
1977-10-01,1977,1,10,VALOR12_TNOTES212,1977-10-01T00:00:00-03:00,7.11
1977-11-01,1977,1,11,VALOR12_TNOTES212,1977-11-01T00:00:00-03:00,7.14
1977-12-01,1977,1,12,VALOR12_TNOTES212,1977-12-01T00:00:00-02:00,7.18
1978-01-01,1978,1,1,VALOR12_TNOTES212,1978-01-01T00:00:00-02:00,7.49
1978-02-01,1978,1,2,VALOR12_TNOTES212,1978-02-01T00:00:00-02:00,7.57
1978-03-01,1978,1,3,VALOR12_TNOTES212,1978-03-01T00:00:00-03:00,7.58
1978-04-01,1978,1,4,VALOR12_TNOTES212,1978-04-01T00:00:00-03:00,7.74
1978-05-01,1978,1,5,VALOR12_TNOTES212,1978-05-01T00:00:00-03:00,8.01
1978-06-01,1978,1,6,VALOR12_TNOTES212,1978-06-01T00:00:00-03:00,8.24
1978-07-01,1978,1,7,VALOR12_TNOTES212,1978-07-01T00:00:00-03:00,8.49
1978-08-01,1978,1,8,VALOR12_TNOTES212,1978-08-01T00:00:00-03:00,8.37
1978-09-01,1978,1,9,VALOR12_TNOTES212,1978-09-01T00:00:00-03:00,8.57
1978-10-01,1978,1,10,VALOR12_TNOTES212,1978-10-01T00:00:00-03:00,8.85
1978-11-01,1978,1,11,VALOR12_TNOTES212,1978-11-01T00:00:00-03:00,9.42
1978-12-01,1978,1,12,VALOR12_TNOTES212,1978-12-01T00:00:00-02:00,9.72
1979-01-01,1979,1,1,VALOR12_TNOTES212,1979-01-01T00:00:00-02:00,9.86
