DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1980-01-01,1980,1,1,GAC12_TCERCHL12,1980-01-01T00:00:00-02:00,202.815402975129
1980-02-01,1980,1,2,GAC12_TCERCHL12,1980-02-01T00:00:00-02:00,204.829725007257
1980-03-01,1980,1,3,GAC12_TCERCHL12,1980-03-01T00:00:00-03:00,205.292705620962
1980-04-01,1980,1,4,GAC12_TCERCHL12,1980-04-01T00:00:00-03:00,205.034222182558
1980-05-01,1980,1,5,GAC12_TCERCHL12,1980-05-01T00:00:00-03:00,201.735901580395
1980-06-01,1980,1,6,GAC12_TCERCHL12,1980-06-01T00:00:00-03:00,199.302751311098
1980-07-01,1980,1,7,GAC12_TCERCHL12,1980-07-01T00:00:00-03:00,190.806580103331
1980-08-01,1980,1,8,GAC12_TCERCHL12,1980-08-01T00:00:00-03:00,188.749059597422
1980-09-01,1980,1,9,GAC12_TCERCHL12,1980-09-01T00:00:00-03:00,189.776531737571
1980-10-01,1980,1,10,GAC12_TCERCHL12,1980-10-01T00:00:00-03:00,185.457913891821
1980-11-01,1980,1,11,GAC12_TCERCHL12,1980-11-01T00:00:00-03:00,182.976378860145
1980-12-01,1980,1,12,GAC12_TCERCHL12,1980-12-01T00:00:00-02:00,184.811073384422
1981-01-01,1981,1,1,GAC12_TCERCHL12,1981-01-01T00:00:00-02:00,187.105861934222
1981-02-01,1981,1,2,GAC12_TCERCHL12,1981-02-01T00:00:00-02:00,181.199218844273
1981-03-01,1981,1,3,GAC12_TCERCHL12,1981-03-01T00:00:00-03:00,178.545743183932
1981-04-01,1981,1,4,GAC12_TCERCHL12,1981-04-01T00:00:00-03:00,182.150616054503
1981-05-01,1981,1,5,GAC12_TCERCHL12,1981-05-01T00:00:00-03:00,183.661279229448
1981-06-01,1981,1,6,GAC12_TCERCHL12,1981-06-01T00:00:00-03:00,185.739459165639
1981-07-01,1981,1,7,GAC12_TCERCHL12,1981-07-01T00:00:00-03:00,189.466864293651
1981-08-01,1981,1,8,GAC12_TCERCHL12,1981-08-01T00:00:00-03:00,193.192735487377
1981-09-01,1981,1,9,GAC12_TCERCHL12,1981-09-01T00:00:00-03:00,195.678368448912
1981-10-01,1981,1,10,GAC12_TCERCHL12,1981-10-01T00:00:00-03:00,197.841053617103
1981-11-01,1981,1,11,GAC12_TCERCHL12,1981-11-01T00:00:00-03:00,198.039090314423
1981-12-01,1981,1,12,GAC12_TCERCHL12,1981-12-01T00:00:00-02:00,203.645643736628
1982-01-01,1982,1,1,GAC12_TCERCHL12,1982-01-01T00:00:00-02:00,202.853903290902
1982-02-01,1982,1,2,GAC12_TCERCHL12,1982-02-01T00:00:00-02:00,198.044321729433
1982-03-01,1982,1,3,GAC12_TCERCHL12,1982-03-01T00:00:00-03:00,195.770941917839
1982-04-01,1982,1,4,GAC12_TCERCHL12,1982-04-01T00:00:00-03:00,194.613642997232
1982-05-01,1982,1,5,GAC12_TCERCHL12,1982-05-01T00:00:00-03:00,192.914621623782
1982-06-01,1982,1,6,GAC12_TCERCHL12,1982-06-01T00:00:00-03:00,169.450964084183
1982-07-01,1982,1,7,GAC12_TCERCHL12,1982-07-01T00:00:00-03:00,159.346503435652
1982-08-01,1982,1,8,GAC12_TCERCHL12,1982-08-01T00:00:00-03:00,141.155079996537
1982-09-01,1982,1,9,GAC12_TCERCHL12,1982-09-01T00:00:00-03:00,133.497129045901
1982-10-01,1982,1,10,GAC12_TCERCHL12,1982-10-01T00:00:00-03:00,134.981478186008
1982-11-01,1982,1,11,GAC12_TCERCHL12,1982-11-01T00:00:00-03:00,135.30771760694
1982-12-01,1982,1,12,GAC12_TCERCHL12,1982-12-01T00:00:00-02:00,131.764166171039
1983-01-01,1983,1,1,GAC12_TCERCHL12,1983-01-01T00:00:00-02:00,127.927511392113
1983-02-01,1983,1,2,GAC12_TCERCHL12,1983-02-01T00:00:00-02:00,141.057521980453
1983-03-01,1983,1,3,GAC12_TCERCHL12,1983-03-01T00:00:00-03:00,168.891822673872
