DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1977-02-01,1977,1,2,VALOR12_TBOND3012,1977-02-01T00:00:00-02:00,7.75
1977-03-01,1977,1,3,VALOR12_TBOND3012,1977-03-01T00:00:00-03:00,7.8
1977-04-01,1977,1,4,VALOR12_TBOND3012,1977-04-01T00:00:00-03:00,7.73
1977-05-01,1977,1,5,VALOR12_TBOND3012,1977-05-01T00:00:00-03:00,7.8
1977-06-01,1977,1,6,VALOR12_TBOND3012,1977-06-01T00:00:00-03:00,7.64
1977-07-01,1977,1,7,VALOR12_TBOND3012,1977-07-01T00:00:00-03:00,7.64
1977-08-01,1977,1,8,VALOR12_TBOND3012,1977-08-01T00:00:00-03:00,7.68
1977-09-01,1977,1,9,VALOR12_TBOND3012,1977-09-01T00:00:00-03:00,7.64
1977-10-01,1977,1,10,VALOR12_TBOND3012,1977-10-01T00:00:00-03:00,7.77
1977-11-01,1977,1,11,VALOR12_TBOND3012,1977-11-01T00:00:00-03:00,7.85
1977-12-01,1977,1,12,VALOR12_TBOND3012,1977-12-01T00:00:00-02:00,7.94
1978-01-01,1978,1,1,VALOR12_TBOND3012,1978-01-01T00:00:00-02:00,8.18
1978-02-01,1978,1,2,VALOR12_TBOND3012,1978-02-01T00:00:00-02:00,8.25
1978-03-01,1978,1,3,VALOR12_TBOND3012,1978-03-01T00:00:00-03:00,8.23
1978-04-01,1978,1,4,VALOR12_TBOND3012,1978-04-01T00:00:00-03:00,8.34
1978-05-01,1978,1,5,VALOR12_TBOND3012,1978-05-01T00:00:00-03:00,8.43
1978-06-01,1978,1,6,VALOR12_TBOND3012,1978-06-01T00:00:00-03:00,8.5
1978-07-01,1978,1,7,VALOR12_TBOND3012,1978-07-01T00:00:00-03:00,8.65
1978-08-01,1978,1,8,VALOR12_TBOND3012,1978-08-01T00:00:00-03:00,8.47
1978-09-01,1978,1,9,VALOR12_TBOND3012,1978-09-01T00:00:00-03:00,8.47
1978-10-01,1978,1,10,VALOR12_TBOND3012,1978-10-01T00:00:00-03:00,8.67
1978-11-01,1978,1,11,VALOR12_TBOND3012,1978-11-01T00:00:00-03:00,8.75
1978-12-01,1978,1,12,VALOR12_TBOND3012,1978-12-01T00:00:00-02:00,8.88
1979-01-01,1979,1,1,VALOR12_TBOND3012,1979-01-01T00:00:00-02:00,8.94
1979-02-01,1979,1,2,VALOR12_TBOND3012,1979-02-01T00:00:00-02:00,9.0
1979-03-01,1979,1,3,VALOR12_TBOND3012,1979-03-01T00:00:00-03:00,9.03
1979-04-01,1979,1,4,VALOR12_TBOND3012,1979-04-01T00:00:00-03:00,9.08
1979-05-01,1979,1,5,VALOR12_TBOND3012,1979-05-01T00:00:00-03:00,9.19
1979-06-01,1979,1,6,VALOR12_TBOND3012,1979-06-01T00:00:00-03:00,8.92
1979-07-01,1979,1,7,VALOR12_TBOND3012,1979-07-01T00:00:00-03:00,8.93
1979-08-01,1979,1,8,VALOR12_TBOND3012,1979-08-01T00:00:00-03:00,8.98
1979-09-01,1979,1,9,VALOR12_TBOND3012,1979-09-01T00:00:00-03:00,9.17
1979-10-01,1979,1,10,VALOR12_TBOND3012,1979-10-01T00:00:00-03:00,9.85
1979-11-01,1979,1,11,VALOR12_TBOND3012,1979-11-01T00:00:00-03:00,10.3
1979-12-01,1979,1,12,VALOR12_TBOND3012,1979-12-01T00:00:00-02:00,10.12
1980-01-01,1980,1,1,VALOR12_TBOND3012,1980-01-01T00:00:00-02:00,10.6
1980-02-01,1980,1,2,VALOR12_TBOND3012,1980-02-01T00:00:00-02:00,12.13
1980-03-01,1980,1,3,VALOR12_TBOND3012,1980-03-01T00:00:00-03:00,12.34
1980-04-01,1980,1,4,VALOR12_TBOND3012,1980-04-01T00:00:00-03:00,11.4
1980-05-01,1980,1,5,VALOR12_TBOND3012,1980-05-01T00:00:00-03:00,10.36
1980-06-01,1980,1,6,VALOR12_TBOND3012,1980-06-01T00:00:00-03:00,9.81
1980-07-01,1980,1,7,VALOR12_TBOND3012,1980-07-01T00:00:00-03:00,10.24
1980-08-01,1980,1,8,VALOR12_TBOND3012,1980-08-01T00:00:00-03:00,11.0
1980-09-01,1980,1,9,VALOR12_TBOND3012,1980-09-01T00:00:00-03:00,11.34
1980-10-01,1980,1,10,VALOR12_TBOND3012,1980-10-01T00:00:00-03:00,11.59
1980-11-01,1980,1,11,VALOR12_TBOND3012,1980-11-01T00:00:00-03:00,12.37
1980-12-01,1980,1,12,VALOR12_TBOND3012,1980-12-01T00:00:00-02:00,12.4
1981-01-01,1981,1,1,VALOR12_TBOND3012,1981-01-01T00:00:00-02:00,12.14
1981-02-01,1981,1,2,VALOR12_TBOND3012,1981-02-01T00:00:00-02:00,12.8
