DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1953-04-01,1953,1,4,VALOR12_TNOTES512,1953-04-01T00:00:00-03:00,2.62
1953-05-01,1953,1,5,VALOR12_TNOTES512,1953-05-01T00:00:00-03:00,2.87
1953-06-01,1953,1,6,VALOR12_TNOTES512,1953-06-01T00:00:00-03:00,2.94
1953-07-01,1953,1,7,VALOR12_TNOTES512,1953-07-01T00:00:00-03:00,2.75
1953-08-01,1953,1,8,VALOR12_TNOTES512,1953-08-01T00:00:00-03:00,2.8
1953-09-01,1953,1,9,VALOR12_TNOTES512,1953-09-01T00:00:00-03:00,2.71
1953-10-01,1953,1,10,VALOR12_TNOTES512,1953-10-01T00:00:00-03:00,2.43
1953-11-01,1953,1,11,VALOR12_TNOTES512,1953-11-01T00:00:00-03:00,2.42
1953-12-01,1953,1,12,VALOR12_TNOTES512,1953-12-01T00:00:00-02:00,2.32
1954-01-01,1954,1,1,VALOR12_TNOTES512,1954-01-01T00:00:00-02:00,2.17
1954-02-01,1954,1,2,VALOR12_TNOTES512,1954-02-01T00:00:00-02:00,2.04
1954-03-01,1954,1,3,VALOR12_TNOTES512,1954-03-01T00:00:00-03:00,1.93
1954-04-01,1954,1,4,VALOR12_TNOTES512,1954-04-01T00:00:00-03:00,1.87
1954-05-01,1954,1,5,VALOR12_TNOTES512,1954-05-01T00:00:00-03:00,1.92
1954-06-01,1954,1,6,VALOR12_TNOTES512,1954-06-01T00:00:00-03:00,1.92
1954-07-01,1954,1,7,VALOR12_TNOTES512,1954-07-01T00:00:00-03:00,1.85
1954-08-01,1954,1,8,VALOR12_TNOTES512,1954-08-01T00:00:00-03:00,1.9
1954-09-01,1954,1,9,VALOR12_TNOTES512,1954-09-01T00:00:00-03:00,1.96
1954-10-01,1954,1,10,VALOR12_TNOTES512,1954-10-01T00:00:00-03:00,2.02
1954-11-01,1954,1,11,VALOR12_TNOTES512,1954-11-01T00:00:00-03:00,2.09
1954-12-01,1954,1,12,VALOR12_TNOTES512,1954-12-01T00:00:00-02:00,2.16
1955-01-01,1955,1,1,VALOR12_TNOTES512,1955-01-01T00:00:00-02:00,2.32
1955-02-01,1955,1,2,VALOR12_TNOTES512,1955-02-01T00:00:00-02:00,2.38
1955-03-01,1955,1,3,VALOR12_TNOTES512,1955-03-01T00:00:00-03:00,2.48
1955-04-01,1955,1,4,VALOR12_TNOTES512,1955-04-01T00:00:00-03:00,2.55
1955-05-01,1955,1,5,VALOR12_TNOTES512,1955-05-01T00:00:00-03:00,2.56
1955-06-01,1955,1,6,VALOR12_TNOTES512,1955-06-01T00:00:00-03:00,2.59
1955-07-01,1955,1,7,VALOR12_TNOTES512,1955-07-01T00:00:00-03:00,2.72
1955-08-01,1955,1,8,VALOR12_TNOTES512,1955-08-01T00:00:00-03:00,2.86
1955-09-01,1955,1,9,VALOR12_TNOTES512,1955-09-01T00:00:00-03:00,2.85
1955-10-01,1955,1,10,VALOR12_TNOTES512,1955-10-01T00:00:00-03:00,2.76
1955-11-01,1955,1,11,VALOR12_TNOTES512,1955-11-01T00:00:00-03:00,2.81
1955-12-01,1955,1,12,VALOR12_TNOTES512,1955-12-01T00:00:00-02:00,2.93
1956-01-01,1956,1,1,VALOR12_TNOTES512,1956-01-01T00:00:00-02:00,2.84
1956-02-01,1956,1,2,VALOR12_TNOTES512,1956-02-01T00:00:00-02:00,2.74
1956-03-01,1956,1,3,VALOR12_TNOTES512,1956-03-01T00:00:00-03:00,2.93
1956-04-01,1956,1,4,VALOR12_TNOTES512,1956-04-01T00:00:00-03:00,3.2
1956-05-01,1956,1,5,VALOR12_TNOTES512,1956-05-01T00:00:00-03:00,3.08
1956-06-01,1956,1,6,VALOR12_TNOTES512,1956-06-01T00:00:00-03:00,2.97
1956-07-01,1956,1,7,VALOR12_TNOTES512,1956-07-01T00:00:00-03:00,3.12
1956-08-01,1956,1,8,VALOR12_TNOTES512,1956-08-01T00:00:00-03:00,3.41
1956-09-01,1956,1,9,VALOR12_TNOTES512,1956-09-01T00:00:00-03:00,3.47
1956-10-01,1956,1,10,VALOR12_TNOTES512,1956-10-01T00:00:00-03:00,3.4
1956-11-01,1956,1,11,VALOR12_TNOTES512,1956-11-01T00:00:00-03:00,3.56
1956-12-01,1956,1,12,VALOR12_TNOTES512,1956-12-01T00:00:00-02:00,3.7
1957-01-01,1957,1,1,VALOR12_TNOTES512,1957-01-01T00:00:00-02:00,3.47
1957-02-01,1957,1,2,VALOR12_TNOTES512,1957-02-01T00:00:00-02:00,3.39
1957-03-01,1957,1,3,VALOR12_TNOTES512,1957-03-01T00:00:00-03:00,3.46
1957-04-01,1957,1,4,VALOR12_TNOTES512,1957-04-01T00:00:00-03:00,3.53
1957-05-01,1957,1,5,VALOR12_TNOTES512,1957-05-01T00:00:00-03:00,3.64
1957-06-01,1957,1,6,VALOR12_TNOTES512,1957-06-01T00:00:00-03:00,3.83
1957-07-01,1957,1,7,VALOR12_TNOTES512,1957-07-01T00:00:00-03:00,4.0
1957-08-01,1957,1,8,VALOR12_TNOTES512,1957-08-01T00:00:00-03:00,4.0
1957-09-01,1957,1,9,VALOR12_TNOTES512,1957-09-01T00:00:00-03:00,4.03
1957-10-01,1957,1,10,VALOR12_TNOTES512,1957-10-01T00:00:00-03:00,4.08
1957-11-01,1957,1,11,VALOR12_TNOTES512,1957-11-01T00:00:00-03:00,3.72
1957-12-01,1957,1,12,VALOR12_TNOTES512,1957-12-01T00:00:00-02:00,3.08
1958-01-01,1958,1,1,VALOR12_TNOTES512,1958-01-01T00:00:00-02:00,2.88
1958-02-01,1958,1,2,VALOR12_TNOTES512,1958-02-01T00:00:00-02:00,2.78
1958-03-01,1958,1,3,VALOR12_TNOTES512,1958-03-01T00:00:00-03:00,2.64
1958-04-01,1958,1,4,VALOR12_TNOTES512,1958-04-01T00:00:00-03:00,2.46
1958-05-01,1958,1,5,VALOR12_TNOTES512,1958-05-01T00:00:00-03:00,2.41
1958-06-01,1958,1,6,VALOR12_TNOTES512,1958-06-01T00:00:00-03:00,2.46
1958-07-01,1958,1,7,VALOR12_TNOTES512,1958-07-01T00:00:00-03:00,2.77
1958-08-01,1958,1,8,VALOR12_TNOTES512,1958-08-01T00:00:00-03:00,3.29
1958-09-01,1958,1,9,VALOR12_TNOTES512,1958-09-01T00:00:00-03:00,3.69
1958-10-01,1958,1,10,VALOR12_TNOTES512,1958-10-01T00:00:00-03:00,3.78
1958-11-01,1958,1,11,VALOR12_TNOTES512,1958-11-01T00:00:00-03:00,3.7
1958-12-01,1958,1,12,VALOR12_TNOTES512,1958-12-01T00:00:00-02:00,3.82
1959-01-01,1959,1,1,VALOR12_TNOTES512,1959-01-01T00:00:00-02:00,4.01
1959-02-01,1959,1,2,VALOR12_TNOTES512,1959-02-01T00:00:00-02:00,3.96
1959-03-01,1959,1,3,VALOR12_TNOTES512,1959-03-01T00:00:00-03:00,3.99
1959-04-01,1959,1,4,VALOR12_TNOTES512,1959-04-01T00:00:00-03:00,4.12
1959-05-01,1959,1,5,VALOR12_TNOTES512,1959-05-01T00:00:00-03:00,4.35
1959-06-01,1959,1,6,VALOR12_TNOTES512,1959-06-01T00:00:00-03:00,4.5
1959-07-01,1959,1,7,VALOR12_TNOTES512,1959-07-01T00:00:00-03:00,4.58
1959-08-01,1959,1,8,VALOR12_TNOTES512,1959-08-01T00:00:00-03:00,4.57
1959-09-01,1959,1,9,VALOR12_TNOTES512,1959-09-01T00:00:00-03:00,4.9
1959-10-01,1959,1,10,VALOR12_TNOTES512,1959-10-01T00:00:00-03:00,4.72
1959-11-01,1959,1,11,VALOR12_TNOTES512,1959-11-01T00:00:00-03:00,4.75
1959-12-01,1959,1,12,VALOR12_TNOTES512,1959-12-01T00:00:00-02:00,5.01
1960-01-01,1960,1,1,VALOR12_TNOTES512,1960-01-01T00:00:00-02:00,4.92
1960-02-01,1960,1,2,VALOR12_TNOTES512,1960-02-01T00:00:00-02:00,4.69
1960-03-01,1960,1,3,VALOR12_TNOTES512,1960-03-01T00:00:00-03:00,4.31
1960-04-01,1960,1,4,VALOR12_TNOTES512,1960-04-01T00:00:00-03:00,4.29
1960-05-01,1960,1,5,VALOR12_TNOTES512,1960-05-01T00:00:00-03:00,4.49
1960-06-01,1960,1,6,VALOR12_TNOTES512,1960-06-01T00:00:00-03:00,4.12
1960-07-01,1960,1,7,VALOR12_TNOTES512,1960-07-01T00:00:00-03:00,3.79
1960-08-01,1960,1,8,VALOR12_TNOTES512,1960-08-01T00:00:00-03:00,3.62
1960-09-01,1960,1,9,VALOR12_TNOTES512,1960-09-01T00:00:00-03:00,3.61
1960-10-01,1960,1,10,VALOR12_TNOTES512,1960-10-01T00:00:00-03:00,3.76
1960-11-01,1960,1,11,VALOR12_TNOTES512,1960-11-01T00:00:00-03:00,3.81
1960-12-01,1960,1,12,VALOR12_TNOTES512,1960-12-01T00:00:00-02:00,3.67
1961-01-01,1961,1,1,VALOR12_TNOTES512,1961-01-01T00:00:00-02:00,3.67
1961-02-01,1961,1,2,VALOR12_TNOTES512,1961-02-01T00:00:00-02:00,3.66
1961-03-01,1961,1,3,VALOR12_TNOTES512,1961-03-01T00:00:00-03:00,3.6
1961-04-01,1961,1,4,VALOR12_TNOTES512,1961-04-01T00:00:00-03:00,3.57
1961-05-01,1961,1,5,VALOR12_TNOTES512,1961-05-01T00:00:00-03:00,3.47
1961-06-01,1961,1,6,VALOR12_TNOTES512,1961-06-01T00:00:00-03:00,3.81
1961-07-01,1961,1,7,VALOR12_TNOTES512,1961-07-01T00:00:00-03:00,3.84
1961-08-01,1961,1,8,VALOR12_TNOTES512,1961-08-01T00:00:00-03:00,3.96
1961-09-01,1961,1,9,VALOR12_TNOTES512,1961-09-01T00:00:00-03:00,3.9
1961-10-01,1961,1,10,VALOR12_TNOTES512,1961-10-01T00:00:00-03:00,3.8
1961-11-01,1961,1,11,VALOR12_TNOTES512,1961-11-01T00:00:00-03:00,3.82
1961-12-01,1961,1,12,VALOR12_TNOTES512,1961-12-01T00:00:00-02:00,3.91
1962-01-01,1962,1,1,VALOR12_TNOTES512,1962-01-01T00:00:00-02:00,3.94
1962-02-01,1962,1,2,VALOR12_TNOTES512,1962-02-01T00:00:00-02:00,3.89
1962-03-01,1962,1,3,VALOR12_TNOTES512,1962-03-01T00:00:00-03:00,3.68
1962-04-01,1962,1,4,VALOR12_TNOTES512,1962-04-01T00:00:00-03:00,3.6
1962-05-01,1962,1,5,VALOR12_TNOTES512,1962-05-01T00:00:00-03:00,3.66
1962-06-01,1962,1,6,VALOR12_TNOTES512,1962-06-01T00:00:00-03:00,3.64
1962-07-01,1962,1,7,VALOR12_TNOTES512,1962-07-01T00:00:00-03:00,3.8
1962-08-01,1962,1,8,VALOR12_TNOTES512,1962-08-01T00:00:00-03:00,3.71
1962-09-01,1962,1,9,VALOR12_TNOTES512,1962-09-01T00:00:00-03:00,3.7
1962-10-01,1962,1,10,VALOR12_TNOTES512,1962-10-01T00:00:00-03:00,3.64
1962-11-01,1962,1,11,VALOR12_TNOTES512,1962-11-01T00:00:00-03:00,3.6
1962-12-01,1962,1,12,VALOR12_TNOTES512,1962-12-01T00:00:00-02:00,3.56
1963-01-01,1963,1,1,VALOR12_TNOTES512,1963-01-01T00:00:00-02:00,3.58
1963-02-01,1963,1,2,VALOR12_TNOTES512,1963-02-01T00:00:00-02:00,3.66
1963-03-01,1963,1,3,VALOR12_TNOTES512,1963-03-01T00:00:00-03:00,3.68
1963-04-01,1963,1,4,VALOR12_TNOTES512,1963-04-01T00:00:00-03:00,3.74
1963-05-01,1963,1,5,VALOR12_TNOTES512,1963-05-01T00:00:00-03:00,3.72
1963-06-01,1963,1,6,VALOR12_TNOTES512,1963-06-01T00:00:00-03:00,3.81
1963-07-01,1963,1,7,VALOR12_TNOTES512,1963-07-01T00:00:00-03:00,3.89
1963-08-01,1963,1,8,VALOR12_TNOTES512,1963-08-01T00:00:00-03:00,3.89
1963-09-01,1963,1,9,VALOR12_TNOTES512,1963-09-01T00:00:00-03:00,3.96
1963-10-01,1963,1,10,VALOR12_TNOTES512,1963-10-01T00:00:00-03:00,3.97
1963-11-01,1963,1,11,VALOR12_TNOTES512,1963-11-01T00:00:00-03:00,4.01
1963-12-01,1963,1,12,VALOR12_TNOTES512,1963-12-01T00:00:00-02:00,4.04
1964-01-01,1964,1,1,VALOR12_TNOTES512,1964-01-01T00:00:00-02:00,4.07
1964-02-01,1964,1,2,VALOR12_TNOTES512,1964-02-01T00:00:00-02:00,4.14
1964-03-01,1964,1,3,VALOR12_TNOTES512,1964-03-01T00:00:00-03:00,4.14
1964-04-01,1964,1,4,VALOR12_TNOTES512,1964-04-01T00:00:00-03:00,4.15
1964-05-01,1964,1,5,VALOR12_TNOTES512,1964-05-01T00:00:00-03:00,4.05
1964-06-01,1964,1,6,VALOR12_TNOTES512,1964-06-01T00:00:00-03:00,4.02
1964-07-01,1964,1,7,VALOR12_TNOTES512,1964-07-01T00:00:00-03:00,4.03
1964-08-01,1964,1,8,VALOR12_TNOTES512,1964-08-01T00:00:00-03:00,4.05
1964-09-01,1964,1,9,VALOR12_TNOTES512,1964-09-01T00:00:00-03:00,4.08
1964-10-01,1964,1,10,VALOR12_TNOTES512,1964-10-01T00:00:00-03:00,4.07
1964-11-01,1964,1,11,VALOR12_TNOTES512,1964-11-01T00:00:00-03:00,4.04
1964-12-01,1964,1,12,VALOR12_TNOTES512,1964-12-01T00:00:00-02:00,4.09
1965-01-01,1965,1,1,VALOR12_TNOTES512,1965-01-01T00:00:00-02:00,4.1
1965-02-01,1965,1,2,VALOR12_TNOTES512,1965-02-01T00:00:00-02:00,4.15
