DATE,Y_or,Y,Date
8/1/2001,0.65,0,2001-08-01
9/1/2001,1.13,0.48,2001-09-01
10/1/2001,1.65,0.52,2001-10-01
11/1/2001,4.88,3.23,2001-11-01
12/1/2001,7.06,2.18,2001-12-01
1/1/2002,8.87,1.81,2002-01-01
2/1/2002,10.14,1.27,2002-02-01
3/1/2002,10.53,0.39,2002-03-01
4/1/2002,10.74,0.21,2002-04-01
5/1/2002,11.67,0.93,2002-05-01
6/1/2002,10.9,-0.77,2002-06-01
7/1/2002,9.4,-1.5,2002-07-01
8/1/2002,8.77,-0.63,2002-08-01
9/1/2002,7.95,-0.82,2002-09-01
10/1/2002,4.27,-3.68,2002-10-01
11/1/2002,-1.94,-6.21,2002-11-01
12/1/2002,-4.29,-2.35,2002-12-01
1/1/2003,-4.26,0.03,2003-01-01
2/1/2003,-4.57,-0.31,2003-02-01
3/1/2003,-4.16,0.41,2003-03-01
4/1/2003,-4.04,0.12,2003-04-01
5/1/2003,-3.19,0.85,2003-05-01
6/1/2003,-1.18,2.01,2003-06-01
7/1/2003,0.22,1.4,2003-07-01
8/1/2003,0.64,0.42,2003-08-01
9/1/2003,-0.05,-0.69,2003-09-01
10/1/2003,0.51,0.56,2003-10-01
11/1/2003,1.21,0.7,2003-11-01
12/1/2003,1.43,0.22,2003-12-01
1/1/2004,1.16,-0.27,2004-01-01
2/1/2004,1.41,0.25,2004-02-01
3/1/2004,1.75,0.34,2004-03-01
4/1/2004,2.19,0.44,2004-04-01
5/1/2004,1.79,-0.4,2004-05-01
6/1/2004,0.71,-1.08,2004-06-01
7/1/2004,0.02,-0.69,2004-07-01
8/1/2004,-0.41,-0.43,2004-08-01
9/1/2004,-0.36,0.05,2004-09-01
10/1/2004,-0.03,0.33,2004-10-01
11/1/2004,-0.25,-0.22,2004-11-01
12/1/2004,-0.53,-0.28,2004-12-01
1/1/2005,-0.18,0.35,2005-01-01
2/1/2005,-0.23,-0.05,2005-02-01
3/1/2005,-0.47,-0.24,2005-03-01
4/1/2005,-1.33,-0.86,2005-04-01
5/1/2005,-1.31,0.02,2005-05-01
6/1/2005,-0.89,0.42,2005-06-01
7/1/2005,-0.96,-0.07,2005-07-01
8/1/2005,-0.92,0.04,2005-08-01
9/1/2005,-1.1,-0.18,2005-09-01
10/1/2005,-1.51,-0.41,2005-10-01
11/1/2005,-1.63,-0.12,2005-11-01
12/1/2005,-1.36,0.27,2005-12-01
1/1/2006,-1.67,-0.31,2006-01-01
2/1/2006,-1.42,0.25,2006-02-01
3/1/2006,-1.39,0.03,2006-03-01
4/1/2006,-1.1,0.29,2006-04-01
5/1/2006,-0.96,0.14,2006-05-01
6/1/2006,-0.35,0.61,2006-06-01
7/1/2006,-0.6,-0.25,2006-07-01
8/1/2006,-0.3,0.3,2006-08-01
9/1/2006,0.14,0.44,2006-09-01
10/1/2006,0.04,-0.1,2006-10-01
11/1/2006,-0.03,-0.07,2006-11-01
12/1/2006,0.29,0.32,2006-12-01
1/1/2007,0.44,0.15,2007-01-01
2/1/2007,0.71,0.27,2007-02-01
3/1/2007,0.89,0.18,2007-03-01
4/1/2007,1.46,0.57,2007-04-01
5/1/2007,2.04,0.58,2007-05-01
6/1/2007,2.43,0.39,2007-06-01
7/1/2007,2.64,0.21,2007-07-01
8/1/2007,2.17,-0.47,2007-08-01
9/1/2007,2.33,0.16,2007-09-01
10/1/2007,2.52,0.19,2007-10-01
11/1/2007,2.36,-0.16,2007-11-01
12/1/2007,1.3,-1.06,2007-12-01
1/1/2008,1.25,-0.05,2008-01-01
2/1/2008,1.47,0.22,2008-02-01
3/1/2008,1.11,-0.36,2008-03-01
4/1/2008,0.84,-0.27,2008-04-01
5/1/2008,0,-0.84,2008-05-01
6/1/2008,-0.9,-0.9,2008-06-01
7/1/2008,-1.08,-0.18,2008-07-01
8/1/2008,-0.88,0.2,2008-08-01
9/1/2008,-0.75,0.13,2008-09-01
10/1/2008,-1.31,-0.56,2008-10-01
11/1/2008,-1.31,0,2008-11-01
12/1/2008,-0.7,0.61,2008-12-01
1/1/2009,-0.2,0.5,2009-01-01
2/1/2009,0.16,0.36,2009-02-01
3/1/2009,0.91,0.75,2009-03-01
4/1/2009,0.93,0.02,2009-04-01
5/1/2009,0.96,0.03,2009-05-01
6/1/2009,0.68,-0.28,2009-06-01
7/1/2009,0.42,-0.26,2009-07-01
8/1/2009,0.43,0.01,2009-08-01
9/1/2009,0.42,-0.01,2009-09-01
10/1/2009,0.76,0.34,2009-10-01
11/1/2009,1.15,0.39,2009-11-01
12/1/2009,1.36,0.21,2009-12-01
1/1/2010,1.16,-0.2,2010-01-01
2/1/2010,1.2,0.04,2010-02-01
3/1/2010,1.43,0.23,2010-03-01
4/1/2010,1.47,0.04,2010-04-01
5/1/2010,1.49,0.02,2010-05-01
