DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1988-01-01,1988,1,1,CEF12_FGTS12,1988-01-01T00:00:00-02:00,0.00701415418181818
1988-02-01,1988,1,2,CEF12_FGTS12,1988-02-01T00:00:00-02:00,0.00988954945454545
1988-03-01,1988,1,3,CEF12_FGTS12,1988-03-01T00:00:00-03:00,0.0133342301818182
1988-04-01,1988,1,4,CEF12_FGTS12,1988-04-01T00:00:00-03:00,0.01150974
1988-05-01,1988,1,5,CEF12_FGTS12,1988-05-01T00:00:00-03:00,0.0119654843636364
1988-06-01,1988,1,6,CEF12_FGTS12,1988-06-01T00:00:00-03:00,0.0147921654545455
1988-07-01,1988,1,7,CEF12_FGTS12,1988-07-01T00:00:00-03:00,0.0182755298181818
1988-08-01,1988,1,8,CEF12_FGTS12,1988-08-01T00:00:00-03:00,0.0207835585454545
1988-09-01,1988,1,9,CEF12_FGTS12,1988-09-01T00:00:00-03:00,0.0265853407272727
1988-10-01,1988,1,10,CEF12_FGTS12,1988-10-01T00:00:00-03:00,0.0327530887272727
1988-11-01,1988,1,11,CEF12_FGTS12,1988-11-01T00:00:00-03:00,0.0366886949090909
1988-12-01,1988,1,12,CEF12_FGTS12,1988-12-01T00:00:00-02:00,0.0482946247272727
1989-01-01,1989,1,1,CEF12_FGTS12,1989-01-01T00:00:00-02:00,0.0638829090909091
1989-02-01,1989,1,2,CEF12_FGTS12,1989-02-01T00:00:00-02:00,0.09926
1989-03-01,1989,1,3,CEF12_FGTS12,1989-03-01T00:00:00-03:00,0.163255272727273
1989-04-01,1989,1,4,CEF12_FGTS12,1989-04-01T00:00:00-03:00,0.156610909090909
1989-05-01,1989,1,5,CEF12_FGTS12,1989-05-01T00:00:00-03:00,0.155330545454545
1989-06-01,1989,1,6,CEF12_FGTS12,1989-06-01T00:00:00-03:00,0.163153090909091
1989-07-01,1989,1,7,CEF12_FGTS12,1989-07-01T00:00:00-03:00,0.319884363636364
1989-08-01,1989,1,8,CEF12_FGTS12,1989-08-01T00:00:00-03:00,0.435418545454545
1989-09-01,1989,1,9,CEF12_FGTS12,1989-09-01T00:00:00-03:00,0.407606545454545
1989-10-01,1989,1,10,CEF12_FGTS12,1989-10-01T00:00:00-03:00,1.16944036363636
1989-11-01,1989,1,11,CEF12_FGTS12,1989-11-01T00:00:00-03:00,1.01317890909091
1989-12-01,1989,1,12,CEF12_FGTS12,1989-12-01T00:00:00-02:00,1.86442581818182
