DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Kg)
1989-01-01,1989,1,1,SECEX12_XGASOLKG12,1989-01-01T00:00:00-02:00,232338164.0
1989-02-01,1989,1,2,SECEX12_XGASOLKG12,1989-02-01T00:00:00-02:00,350582115.0
1989-03-01,1989,1,3,SECEX12_XGASOLKG12,1989-03-01T00:00:00-03:00,332967239.0
1989-04-01,1989,1,4,SECEX12_XGASOLKG12,1989-04-01T00:00:00-03:00,319058008.0
1989-05-01,1989,1,5,SECEX12_XGASOLKG12,1989-05-01T00:00:00-03:00,200489724.0
1989-06-01,1989,1,6,SECEX12_XGASOLKG12,1989-06-01T00:00:00-03:00,220871657.0
1989-07-01,1989,1,7,SECEX12_XGASOLKG12,1989-07-01T00:00:00-03:00,235166730.0
1989-08-01,1989,1,8,SECEX12_XGASOLKG12,1989-08-01T00:00:00-03:00,170977683.0
1989-09-01,1989,1,9,SECEX12_XGASOLKG12,1989-09-01T00:00:00-03:00,266952948.0
1989-10-01,1989,1,10,SECEX12_XGASOLKG12,1989-10-01T00:00:00-03:00,376685003.0
1989-11-01,1989,1,11,SECEX12_XGASOLKG12,1989-11-01T00:00:00-03:00,162480273.0
1989-12-01,1989,1,12,SECEX12_XGASOLKG12,1989-12-01T00:00:00-02:00,37915302.0
1990-01-01,1990,1,1,SECEX12_XGASOLKG12,1990-01-01T00:00:00-02:00,41328777.0
1990-02-01,1990,1,2,SECEX12_XGASOLKG12,1990-02-01T00:00:00-02:00,296887.0
1990-03-01,1990,1,3,SECEX12_XGASOLKG12,1990-03-01T00:00:00-03:00,60224543.0
1990-04-01,1990,1,4,SECEX12_XGASOLKG12,1990-04-01T00:00:00-03:00,169747526.0
1990-05-01,1990,1,5,SECEX12_XGASOLKG12,1990-05-01T00:00:00-03:00,172111094.0
1990-06-01,1990,1,6,SECEX12_XGASOLKG12,1990-06-01T00:00:00-03:00,100897527.0
1990-07-01,1990,1,7,SECEX12_XGASOLKG12,1990-07-01T00:00:00-03:00,335400729.0
1990-08-01,1990,1,8,SECEX12_XGASOLKG12,1990-08-01T00:00:00-03:00,167359756.0
1990-09-01,1990,1,9,SECEX12_XGASOLKG12,1990-09-01T00:00:00-03:00,69686836.0
1990-10-01,1990,1,10,SECEX12_XGASOLKG12,1990-10-01T00:00:00-03:00,176087526.0
1990-11-01,1990,1,11,SECEX12_XGASOLKG12,1990-11-01T00:00:00-03:00,210619910.0
1990-12-01,1990,1,12,SECEX12_XGASOLKG12,1990-12-01T00:00:00-02:00,154767244.0
1991-01-01,1991,1,1,SECEX12_XGASOLKG12,1991-01-01T00:00:00-02:00,67571351.0
1991-02-01,1991,1,2,SECEX12_XGASOLKG12,1991-02-01T00:00:00-02:00,465758.0
1991-03-01,1991,1,3,SECEX12_XGASOLKG12,1991-03-01T00:00:00-03:00,66047.0
1991-04-01,1991,1,4,SECEX12_XGASOLKG12,1991-04-01T00:00:00-03:00,90939861.0
1991-05-01,1991,1,5,SECEX12_XGASOLKG12,1991-05-01T00:00:00-03:00,158521188.0
1991-06-01,1991,1,6,SECEX12_XGASOLKG12,1991-06-01T00:00:00-03:00,136995157.0
1991-07-01,1991,1,7,SECEX12_XGASOLKG12,1991-07-01T00:00:00-03:00,73584625.0
1991-08-01,1991,1,8,SECEX12_XGASOLKG12,1991-08-01T00:00:00-03:00,168912143.0
1991-09-01,1991,1,9,SECEX12_XGASOLKG12,1991-09-01T00:00:00-03:00,750789.0
1991-10-01,1991,1,10,SECEX12_XGASOLKG12,1991-10-01T00:00:00-03:00,124209033.0
1991-11-01,1991,1,11,SECEX12_XGASOLKG12,1991-11-01T00:00:00-03:00,130124651.0
1991-12-01,1991,1,12,SECEX12_XGASOLKG12,1991-12-01T00:00:00-02:00,187575981.0
