DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1953-04-01,1953,1,4,VALOR12_TNOTES1012,1953-04-01T00:00:00-03:00,2.83
1953-05-01,1953,1,5,VALOR12_TNOTES1012,1953-05-01T00:00:00-03:00,3.05
1953-06-01,1953,1,6,VALOR12_TNOTES1012,1953-06-01T00:00:00-03:00,3.11
1953-07-01,1953,1,7,VALOR12_TNOTES1012,1953-07-01T00:00:00-03:00,2.93
1953-08-01,1953,1,8,VALOR12_TNOTES1012,1953-08-01T00:00:00-03:00,2.95
1953-09-01,1953,1,9,VALOR12_TNOTES1012,1953-09-01T00:00:00-03:00,2.87
1953-10-01,1953,1,10,VALOR12_TNOTES1012,1953-10-01T00:00:00-03:00,2.66
1953-11-01,1953,1,11,VALOR12_TNOTES1012,1953-11-01T00:00:00-03:00,2.68
1953-12-01,1953,1,12,VALOR12_TNOTES1012,1953-12-01T00:00:00-02:00,2.59
1954-01-01,1954,1,1,VALOR12_TNOTES1012,1954-01-01T00:00:00-02:00,2.48
1954-02-01,1954,1,2,VALOR12_TNOTES1012,1954-02-01T00:00:00-02:00,2.47
1954-03-01,1954,1,3,VALOR12_TNOTES1012,1954-03-01T00:00:00-03:00,2.37
1954-04-01,1954,1,4,VALOR12_TNOTES1012,1954-04-01T00:00:00-03:00,2.29
1954-05-01,1954,1,5,VALOR12_TNOTES1012,1954-05-01T00:00:00-03:00,2.37
1954-06-01,1954,1,6,VALOR12_TNOTES1012,1954-06-01T00:00:00-03:00,2.38
1954-07-01,1954,1,7,VALOR12_TNOTES1012,1954-07-01T00:00:00-03:00,2.3
1954-08-01,1954,1,8,VALOR12_TNOTES1012,1954-08-01T00:00:00-03:00,2.36
1954-09-01,1954,1,9,VALOR12_TNOTES1012,1954-09-01T00:00:00-03:00,2.38
1954-10-01,1954,1,10,VALOR12_TNOTES1012,1954-10-01T00:00:00-03:00,2.43
1954-11-01,1954,1,11,VALOR12_TNOTES1012,1954-11-01T00:00:00-03:00,2.48
1954-12-01,1954,1,12,VALOR12_TNOTES1012,1954-12-01T00:00:00-02:00,2.51
1955-01-01,1955,1,1,VALOR12_TNOTES1012,1955-01-01T00:00:00-02:00,2.61
1955-02-01,1955,1,2,VALOR12_TNOTES1012,1955-02-01T00:00:00-02:00,2.65
1955-03-01,1955,1,3,VALOR12_TNOTES1012,1955-03-01T00:00:00-03:00,2.68
1955-04-01,1955,1,4,VALOR12_TNOTES1012,1955-04-01T00:00:00-03:00,2.75
1955-05-01,1955,1,5,VALOR12_TNOTES1012,1955-05-01T00:00:00-03:00,2.76
1955-06-01,1955,1,6,VALOR12_TNOTES1012,1955-06-01T00:00:00-03:00,2.78
1955-07-01,1955,1,7,VALOR12_TNOTES1012,1955-07-01T00:00:00-03:00,2.9
1955-08-01,1955,1,8,VALOR12_TNOTES1012,1955-08-01T00:00:00-03:00,2.97
1955-09-01,1955,1,9,VALOR12_TNOTES1012,1955-09-01T00:00:00-03:00,2.97
1955-10-01,1955,1,10,VALOR12_TNOTES1012,1955-10-01T00:00:00-03:00,2.88
1955-11-01,1955,1,11,VALOR12_TNOTES1012,1955-11-01T00:00:00-03:00,2.89
1955-12-01,1955,1,12,VALOR12_TNOTES1012,1955-12-01T00:00:00-02:00,2.96
1956-01-01,1956,1,1,VALOR12_TNOTES1012,1956-01-01T00:00:00-02:00,2.9
1956-02-01,1956,1,2,VALOR12_TNOTES1012,1956-02-01T00:00:00-02:00,2.84
1956-03-01,1956,1,3,VALOR12_TNOTES1012,1956-03-01T00:00:00-03:00,2.96
1956-04-01,1956,1,4,VALOR12_TNOTES1012,1956-04-01T00:00:00-03:00,3.18
1956-05-01,1956,1,5,VALOR12_TNOTES1012,1956-05-01T00:00:00-03:00,3.07
1956-06-01,1956,1,6,VALOR12_TNOTES1012,1956-06-01T00:00:00-03:00,3.0
1956-07-01,1956,1,7,VALOR12_TNOTES1012,1956-07-01T00:00:00-03:00,3.11
1956-08-01,1956,1,8,VALOR12_TNOTES1012,1956-08-01T00:00:00-03:00,3.33
1956-09-01,1956,1,9,VALOR12_TNOTES1012,1956-09-01T00:00:00-03:00,3.38
1956-10-01,1956,1,10,VALOR12_TNOTES1012,1956-10-01T00:00:00-03:00,3.34
1956-11-01,1956,1,11,VALOR12_TNOTES1012,1956-11-01T00:00:00-03:00,3.49
1956-12-01,1956,1,12,VALOR12_TNOTES1012,1956-12-01T00:00:00-02:00,3.59
1957-01-01,1957,1,1,VALOR12_TNOTES1012,1957-01-01T00:00:00-02:00,3.46
1957-02-01,1957,1,2,VALOR12_TNOTES1012,1957-02-01T00:00:00-02:00,3.34
1957-03-01,1957,1,3,VALOR12_TNOTES1012,1957-03-01T00:00:00-03:00,3.41
1957-04-01,1957,1,4,VALOR12_TNOTES1012,1957-04-01T00:00:00-03:00,3.48
1957-05-01,1957,1,5,VALOR12_TNOTES1012,1957-05-01T00:00:00-03:00,3.6
1957-06-01,1957,1,6,VALOR12_TNOTES1012,1957-06-01T00:00:00-03:00,3.8
1957-07-01,1957,1,7,VALOR12_TNOTES1012,1957-07-01T00:00:00-03:00,3.93
1957-08-01,1957,1,8,VALOR12_TNOTES1012,1957-08-01T00:00:00-03:00,3.93
1957-09-01,1957,1,9,VALOR12_TNOTES1012,1957-09-01T00:00:00-03:00,3.92
1957-10-01,1957,1,10,VALOR12_TNOTES1012,1957-10-01T00:00:00-03:00,3.97
1957-11-01,1957,1,11,VALOR12_TNOTES1012,1957-11-01T00:00:00-03:00,3.72
1957-12-01,1957,1,12,VALOR12_TNOTES1012,1957-12-01T00:00:00-02:00,3.21
1958-01-01,1958,1,1,VALOR12_TNOTES1012,1958-01-01T00:00:00-02:00,3.09
1958-02-01,1958,1,2,VALOR12_TNOTES1012,1958-02-01T00:00:00-02:00,3.05
1958-03-01,1958,1,3,VALOR12_TNOTES1012,1958-03-01T00:00:00-03:00,2.98
1958-04-01,1958,1,4,VALOR12_TNOTES1012,1958-04-01T00:00:00-03:00,2.88
1958-05-01,1958,1,5,VALOR12_TNOTES1012,1958-05-01T00:00:00-03:00,2.92
1958-06-01,1958,1,6,VALOR12_TNOTES1012,1958-06-01T00:00:00-03:00,2.97
1958-07-01,1958,1,7,VALOR12_TNOTES1012,1958-07-01T00:00:00-03:00,3.2
1958-08-01,1958,1,8,VALOR12_TNOTES1012,1958-08-01T00:00:00-03:00,3.54
1958-09-01,1958,1,9,VALOR12_TNOTES1012,1958-09-01T00:00:00-03:00,3.76
1958-10-01,1958,1,10,VALOR12_TNOTES1012,1958-10-01T00:00:00-03:00,3.8
1958-11-01,1958,1,11,VALOR12_TNOTES1012,1958-11-01T00:00:00-03:00,3.74
1958-12-01,1958,1,12,VALOR12_TNOTES1012,1958-12-01T00:00:00-02:00,3.86
1959-01-01,1959,1,1,VALOR12_TNOTES1012,1959-01-01T00:00:00-02:00,4.02
1959-02-01,1959,1,2,VALOR12_TNOTES1012,1959-02-01T00:00:00-02:00,3.96
1959-03-01,1959,1,3,VALOR12_TNOTES1012,1959-03-01T00:00:00-03:00,3.99
1959-04-01,1959,1,4,VALOR12_TNOTES1012,1959-04-01T00:00:00-03:00,4.12
1959-05-01,1959,1,5,VALOR12_TNOTES1012,1959-05-01T00:00:00-03:00,4.31
1959-06-01,1959,1,6,VALOR12_TNOTES1012,1959-06-01T00:00:00-03:00,4.34
1959-07-01,1959,1,7,VALOR12_TNOTES1012,1959-07-01T00:00:00-03:00,4.4
1959-08-01,1959,1,8,VALOR12_TNOTES1012,1959-08-01T00:00:00-03:00,4.43
1959-09-01,1959,1,9,VALOR12_TNOTES1012,1959-09-01T00:00:00-03:00,4.68
1959-10-01,1959,1,10,VALOR12_TNOTES1012,1959-10-01T00:00:00-03:00,4.53
1959-11-01,1959,1,11,VALOR12_TNOTES1012,1959-11-01T00:00:00-03:00,4.53
1959-12-01,1959,1,12,VALOR12_TNOTES1012,1959-12-01T00:00:00-02:00,4.69
1960-01-01,1960,1,1,VALOR12_TNOTES1012,1960-01-01T00:00:00-02:00,4.72
1960-02-01,1960,1,2,VALOR12_TNOTES1012,1960-02-01T00:00:00-02:00,4.49
1960-03-01,1960,1,3,VALOR12_TNOTES1012,1960-03-01T00:00:00-03:00,4.25
1960-04-01,1960,1,4,VALOR12_TNOTES1012,1960-04-01T00:00:00-03:00,4.28
1960-05-01,1960,1,5,VALOR12_TNOTES1012,1960-05-01T00:00:00-03:00,4.35
1960-06-01,1960,1,6,VALOR12_TNOTES1012,1960-06-01T00:00:00-03:00,4.15
1960-07-01,1960,1,7,VALOR12_TNOTES1012,1960-07-01T00:00:00-03:00,3.9
1960-08-01,1960,1,8,VALOR12_TNOTES1012,1960-08-01T00:00:00-03:00,3.8
1960-09-01,1960,1,9,VALOR12_TNOTES1012,1960-09-01T00:00:00-03:00,3.8
1960-10-01,1960,1,10,VALOR12_TNOTES1012,1960-10-01T00:00:00-03:00,3.89
1960-11-01,1960,1,11,VALOR12_TNOTES1012,1960-11-01T00:00:00-03:00,3.93
1960-12-01,1960,1,12,VALOR12_TNOTES1012,1960-12-01T00:00:00-02:00,3.84
1961-01-01,1961,1,1,VALOR12_TNOTES1012,1961-01-01T00:00:00-02:00,3.84
1961-02-01,1961,1,2,VALOR12_TNOTES1012,1961-02-01T00:00:00-02:00,3.78
1961-03-01,1961,1,3,VALOR12_TNOTES1012,1961-03-01T00:00:00-03:00,3.74
1961-04-01,1961,1,4,VALOR12_TNOTES1012,1961-04-01T00:00:00-03:00,3.78
1961-05-01,1961,1,5,VALOR12_TNOTES1012,1961-05-01T00:00:00-03:00,3.71
1961-06-01,1961,1,6,VALOR12_TNOTES1012,1961-06-01T00:00:00-03:00,3.88
1961-07-01,1961,1,7,VALOR12_TNOTES1012,1961-07-01T00:00:00-03:00,3.92
1961-08-01,1961,1,8,VALOR12_TNOTES1012,1961-08-01T00:00:00-03:00,4.04
1961-09-01,1961,1,9,VALOR12_TNOTES1012,1961-09-01T00:00:00-03:00,3.98
1961-10-01,1961,1,10,VALOR12_TNOTES1012,1961-10-01T00:00:00-03:00,3.92
1961-11-01,1961,1,11,VALOR12_TNOTES1012,1961-11-01T00:00:00-03:00,3.94
1961-12-01,1961,1,12,VALOR12_TNOTES1012,1961-12-01T00:00:00-02:00,4.06
1962-01-01,1962,1,1,VALOR12_TNOTES1012,1962-01-01T00:00:00-02:00,4.08
1962-02-01,1962,1,2,VALOR12_TNOTES1012,1962-02-01T00:00:00-02:00,4.04
1962-03-01,1962,1,3,VALOR12_TNOTES1012,1962-03-01T00:00:00-03:00,3.93
1962-04-01,1962,1,4,VALOR12_TNOTES1012,1962-04-01T00:00:00-03:00,3.84
1962-05-01,1962,1,5,VALOR12_TNOTES1012,1962-05-01T00:00:00-03:00,3.87
1962-06-01,1962,1,6,VALOR12_TNOTES1012,1962-06-01T00:00:00-03:00,3.91
1962-07-01,1962,1,7,VALOR12_TNOTES1012,1962-07-01T00:00:00-03:00,4.01
1962-08-01,1962,1,8,VALOR12_TNOTES1012,1962-08-01T00:00:00-03:00,3.98
1962-09-01,1962,1,9,VALOR12_TNOTES1012,1962-09-01T00:00:00-03:00,3.98
1962-10-01,1962,1,10,VALOR12_TNOTES1012,1962-10-01T00:00:00-03:00,3.93
1962-11-01,1962,1,11,VALOR12_TNOTES1012,1962-11-01T00:00:00-03:00,3.92
1962-12-01,1962,1,12,VALOR12_TNOTES1012,1962-12-01T00:00:00-02:00,3.86
1963-01-01,1963,1,1,VALOR12_TNOTES1012,1963-01-01T00:00:00-02:00,3.83
1963-02-01,1963,1,2,VALOR12_TNOTES1012,1963-02-01T00:00:00-02:00,3.92
1963-03-01,1963,1,3,VALOR12_TNOTES1012,1963-03-01T00:00:00-03:00,3.93
1963-04-01,1963,1,4,VALOR12_TNOTES1012,1963-04-01T00:00:00-03:00,3.97
